Site,Site_Code,Tray,Tray_Code,Class,Month,Day,Exp_Day,Sex,Num_Emerge,
4,U1,1,U1T1,urban,8,16,16,F,1,
4,U1,2,U1T2,urban,8,16,16,M,0,
4,U1,2,U1T2,urban,8,16,16,F,0,
4,U1,3,U1T3,urban,8,16,16,M,0,
4,U1,3,U1T3,urban,8,16,16,F,2,
4,U1,4,U1T4,urban,8,16,16,M,0,
4,U1,4,U1T4,urban,8,16,16,F,0,
6,R1,1,R1T1,rural,8,16,16,M,1,
6,R1,1,R1T1,rural,8,16,16,F,2,
6,R1,2,R1T2,rural,8,16,16,M,0,
6,R1,2,R1T2,rural,8,16,16,F,1,
6,R1,3,R1T3,rural,8,16,16,M,0,
6,R1,3,R1T3,rural,8,16,16,F,2,
6,R1,4,R1T4,rural,8,16,16,M,1,
6,R1,4,R1T4,rural,8,16,16,F,2,
7,U2,4,U2T4,urban,8,16,16,F,1,
4,U1,4,U1T4,urban,8,17,17,F,1,
7,U2,2,U2T2,urban,8,17,17,F,1,
8,S3,1,S3T1,suburban,8,17,17,F,1,
8,S3,3,S3T3,suburban,8,17,17,F,1,
6,R1,1,R1T1,rural,8,17,17,F,1,
6,R1,2,R1T2,rural,8,17,17,F,2,
6,R1,4,R1T4,rural,8,17,17,F,1,
3,S1,1,S1T1,suburban,8,18,18,M,0,
3,S1,1,S1T1,suburban,8,18,18,F,1,
3,S1,2,S1T2,suburban,8,18,18,M,0,
3,S1,2,S1T2,suburban,8,18,18,F,2,
3,S1,3,S1T3,suburban,8,18,18,M,9,
3,S1,3,S1T3,suburban,8,18,18,F,11,
3,S1,4,S1T4,suburban,8,18,18,M,3,
3,S1,4,S1T4,suburban,8,18,18,F,2,
1,U3,4,U3T4,urban,8,18,18,M,1,
1,U3,4,U3T4,urban,8,18,18,F,2,
6,R1,4,R1T4,rural,8,18,18,F,1,
4,U1,4,U1T4,urban,8,18,18,F,1,
9,R3,1,R3T1,rural,8,18,18,F,1,
9,R3,2,R3T2,rural,8,18,18,F,2,
5,S2,1,S2T1,suburban,8,18,18,M,1,
5,S2,1,S2T1,suburban,8,18,18,F,3,
5,S2,3,S2T3,suburban,8,18,18,F,1,
2,R2,1,R2T1,rural,8,18,18,M,0,
2,R2,1,R2T1,rural,8,18,18,F,4,
2,R2,2,R2T2,rural,8,18,18,M,0,
2,R2,2,R2T2,rural,8,18,18,F,1,
2,R2,3,R2T3,rural,8,18,18,M,0,
2,R2,3,R2T3,rural,8,18,18,F,0,
2,R2,4,R2T4,rural,8,18,18,M,0,
2,R2,4,R2T4,rural,8,18,18,F,2,
8,S3,3,S3T3,suburban,8,19,19,F,1,
2,R2,1,R2T1,rural,8,19,19,F,2,
6,R1,4,R1T4,rural,8,19,19,F,2,
1,U3,4,U3T4,urban,8,19,19,F,3,
3,S1,3,S1T3,suburban,8,19,19,M,2,
3,S1,3,S1T3,suburban,8,19,19,F,3,
3,S1,4,S1T4,suburban,8,19,19,M,4,
3,S1,4,S1T4,suburban,8,19,19,F,9,
5,S2,1,S2T1,suburban,8,19,19,M,3,
5,S2,1,S2T1,suburban,8,19,19,F,4,
5,S2,3,S2T3,suburban,8,19,19,F,1,
5,S2,4,S2T4,suburban,8,19,19,F,1,
5,S2,1,S2T1,suburban,8,21,21,M,2,
5,S2,1,S2T1,suburban,8,21,21,F,1,
5,S2,2,S2T2,suburban,8,21,21,F,2,
5,S2,3,S2T3,suburban,8,21,21,M,1,
3,S1,3,S1T3,suburban,8,21,21,F,4,
2,R2,1,R2T1,rural,8,21,21,M,1,
2,R2,1,R2T1,rural,8,21,21,F,2,
3,S1,3,S1T3,suburban,8,20,20,F,1,JS
3,S1,3,S1T3,suburban,8,20,20,M,3,JS
5,S2,4,S2T4,suburban,8,20,20,F,1,JS
5,S2,4,S2T4,suburban,8,20,20,M,2,JS
2,R2,1,R2T1,rural,8,20,20,M,1,JS
1,U3,1,U3T1,urban,8,20,20,M,1,JS
1,U3,4,U3T4,urban,8,20,20,M,1,JS
1,U3,4,U3T4,urban,8,20,20,F,1,JS
5,S2,3,S2T3,suburban,8,20,20,F,3,JS
6,R1,3,R1T3,rural,8,20,20,F,1,JS
5,S2,1,S2T1,suburban,8,20,20,F,2,JS
5,S2,1,S2T1,suburban,8,22,22,F,1,JS
5,S2,3,S2T3,suburban,8,22,22,M,1,JS
5,S2,4,S2T4,suburban,8,22,22,F,2,JS
6,R1,4,R1T4,rural,8,22,22,M,1,JS
6,R1,4,R1T4,rural,8,22,22,F,2,JS
2,R2,1,R2T1,rural,8,23,23,F,1,ME
2,R2,1,R2T1,rural,8,24,24,M,1,
3,S1,3,S1T3,suburban,8,24,24,F,2,
6,R1,3,R1T3,rural,8,24,24,F,1,
9,R3,2,R3T2,rural,8,24,24,F,1,
5,S2,1,S2T1,suburban,8,24,24,F,1,
5,S2,1,S2T1,suburban,8,25,25,M,1,
5,S2,2,S2T2,suburban,8,25,25,F,1,
3,S1,3,S1T3,suburban,8,25,25,M,1,
5,S2,1,S2T1,suburban,8,26,26,F,1,
8,S3,2,S3T2,suburban,8,26,26,M,1,
5,S2,1,S2T1,suburban,8,27,27,F,1,
