Site,Code,Date collected ,Location (grid),Species,Sex,No.
7,U2,8/2/16,70,Aedes albopictus,F,3
7,U2,8/2/16,49,Aedes albopictus,F,1
7,U2,8/2/16,49,Aedes albopictus,M,1
7,U2,8/2/16,70,Aedes albopictus,F,1
7,U2,8/2/16,40A,Aedes albopictus,F,1
7,U2,8/2/16,75,Aedes albopictus,F,1
7,U2,8/2/16,47A,Aedes albopictus,M,3
7,U2,8/2/16,47A,Aedes albopictus,F,4
7,U2,8/2/16,47A,Aedes triseriatus,M,1
7,U2,8/17/16,40,Aedes albopictus,M,1
7,U2,8/2/16,49,Aedes albopictus,F,1
7,U2,8/2/16,47A,Aedes albopictus,F,1
7,U2,8/2/16,47A,Aedes albopictus,F,1
7,U2,8/17/16,18,Aedes albopictus,M,1
7,U2,8/17/16,40,Aedes albopictus,F,1
7,U2,8/17/16,37,Aedes albopictus,F,1
7,U2,8/17/16,18,Aedes albopictus,M,1
7,U2,8/17/16,18,Aedes albopictus,F,2
7,U2,8/17/16,37,Aedes albopictus,F,1
7,U2,8/17/16,49B,Aedes albopictus,M,1
7,U2,8/17/16,49B,Aedes albopictus,F,2
7,U2,8/29/16,42,Aedes albopictus,F,2
7,U2,8/29/16,42,Aedes albopictus,M,2
7,U2,8/17/16,37,Aedes albopictus,F,2
7,U2,8/17/16,18,Aedes albopictus,F,2
7,U2,8/29/16,42,Aedes albopictus,M,1
7,U2,8/29/16,18,Aedes albopictus,F,2
7,U2,8/17/16,37,Aedes albopictus,F,1
7,U2,8/29/16,18,Aedes albopictus,F,1
7,U2,8/29/16,59,Aedes albopictus,F,2
8,S3,6/22/16,70,Aedes albopictus,F,1
8,S3,6/22/16,70,Aedes albopictus,F,1
8,S3,6/22/16,70,Aedes albopictus,F,1
8,S3,6/22/16,70,Aedes albopictus,F,1
8,S3,7/7/16,42,Aedes albopictus,F,1
8,S3,7/7/16,42,Aedes albopictus,F,1
8,S3,7/7/16,49B,Aedes albopictus,M,1
8,S3,7/7/16,49B,Aedes albopictus,F,1
8,S3,7/7/16,49A,Aedes albopictus,M,1
8,S3,7/7/16,42,Aedes albopictus,M,1
8,S3,7/7/16,70,Aedes albopictus,M,1
8,S3,7/7/16,70,Aedes albopictus,F,1
8,S3,7/7/16,70,Aedes albopictus,F,1
8,S3,7/7/16,42,Aedes albopictus,F,1
8,S3,7/7/16,42,Aedes albopictus,F,1
8,S3,7/7/16,42,Aedes albopictus,F,1
8,S3,7/7/16,42,Aedes albopictus,F,1
8,S3,7/7/16,42,Aedes albopictus,F,1
8,S3,7/7/16,42,Aedes albopictus,F,1
8,S3,7/7/16,49A,Aedes albopictus,F,1
8,S3,7/7/16,42,Aedes albopictus,M,1
8,S3,7/7/16,42,Aedes albopictus,M,1
8,S3,7/7/16,42,Aedes albopictus,M,1
8,S3,7/7/16,42,Aedes albopictus,F,1
8,S3,7/7/16,42,Aedes albopictus,F,1
8,S3,7/7/16,49B,Aedes albopictus,F,1
8,S3,7/7/16,42,Aedes albopictus,M,1
8,S3,7/7/16,42,Aedes albopictus,M,1
8,S3,7/7/16,42,Aedes albopictus,M,1
8,S3,7/7/16,49A,Aedes albopictus,M,1
8,S3,7/7/16,49A,Aedes albopictus,M,1
8,S3,7/7/16,49A,Aedes albopictus,M,1
8,S3,7/7/16,49A,Aedes albopictus,M,1
8,S3,7/7/16,49A,Aedes albopictus,M,1
8,S3,7/7/16,49A,Aedes albopictus,F,1
8,S3,7/7/16,49A,Aedes albopictus,F,1
8,S3,7/7/16,49A,Aedes albopictus,F,1
8,S3,7/7/16,49A,Aedes albopictus,F,1
8,S3,7/7/16,49A,Aedes albopictus,F,1
8,S3,7/7/16,49A,Aedes albopictus,F,1
8,S3,7/7/16,42,Aedes albopictus,F,1
8,S3,7/7/16,49A,Aedes albopictus,F,1
8,S3,7/7/16,49A,Aedes albopictus,F,1
8,S3,7/7/16,49A,Aedes albopictus,F,1
8,S3,7/7/16,49A,Aedes albopictus,F,1
8,S3,7/21/16,80,Culex quinquefasciatus,F,1
8,S3,7/21/16,80,Culex quinquefasciatus,F,1
8,S3,7/21/16,48,Aedes albopictus,M,1
8,S3,7/21/16,48,Aedes albopictus,M,1
8,S3,7/21/16,53,Culex quinquefasciatus,M,1
8,S3,7/21/16,53,Aedes albopictus,F,1
8,S3,7/21/16,80,Culex quinquefasciatus,M,2
8,S3,7/21/16,80,Culex quinquefasciatus,F,1
8,S3,7/21/16,53,Culex quinquefasciatus,M,4
8,S3,8/3/16,50C,Aedes albopictus,M,1
8,S3,8/3/16,48A,Aedes albopictus,F,2
8,S3,8/3/16,48B,Aedes albopictus,M,1
8,S3,8/3/16,50C,Aedes albopictus,F,1
8,S3,8/3/16,48A,Aedes albopictus,F,1
8,S3,8/3/16,48A,Aedes albopictus,M,1
8,S3,8/3/16,50C,Aedes albopictus,F,1
8,S3,8/3/16,50C,Aedes albopictus,M,1
8,S3,8/3/16,70,Aedes albopictus,F,1
8,S3,8/3/16,53A,Aedes albopictus,M,2
8,S3,8/3/16,53A,Aedes albopictus,F,1
8,S3,8/3/16,53A,Aedes albopictus,M,1
8,S3,8/3/16,53A,Aedes albopictus,F,1
8,S3,8/3/16,50C,Aedes albopictus,F,1
8,S3,8/3/16,53A,Aedes albopictus,M,1
8,S3,8/3/16,53A,Aedes albopictus,F,1
8,S3,8/3/16,53A,Aedes albopictus,F,2
8,S3,8/3/16,53A,Aedes albopictus,M,1
8,S3,8/3/16,70,Aedes albopictus,F,1
8,S3,8/17/16,49B,Aedes albopictus,F,1
8,S3,8/17/16,83,Aedes albopictus,F,2
8,S3,8/17/16,83,Aedes albopictus,M,1
8,S3,8/17/16,64,Aedes albopictus,F,4
8,S3,8/17/16,70,Aedes albopictus,M,4
8,S3,8/17/16,49C,Aedes albopictus,F,1
8,S3,8/17/16,48,Aedes albopictus,M,2
8,S3,8/17/16,70,Aedes albopictus,F,1
8,S3,8/17/16,5,Aedes albopictus,M,1
8,S3,8/2/16,48,Aedes albopictus,M,5
8,S3,8/17/16,49C,Aedes albopictus,F,1
8,S3,8/17/16,49,Aedes albopictus,M,1
8,S3,8/2/16,42,Aedes albopictus,F,2
8,S3,8/29/16,70,Aedes albopictus,M,6
8,S3,8/29/16,72,Aedes albopictus,M,1
8,S3,8/29/16,70,Aedes albopictus,M,2
8,S3,8/17/16,83,Aedes albopictus,M,2
8,S3,8/17/16,49A,Aedes albopictus,M,2
8,S3,8/17/16,5,Aedes albopictus,F,3
8,S3,8/17/16,70,Aedes albopictus,F,2
8,S3,8/29/16,70,Aedes albopictus,M,1
8,S3,8/29/16,70,Aedes albopictus,F,1
8,S3,8/17/16,49A,Aedes albopictus,M,3
8,S3,8/17/16,49A,Aedes albopictus,F,1
8,S3,8/29/16,72,Aedes albopictus,F,1
8,S3,8/17/16,70,Aedes albopictus,M,1
8,S3,8/29/16,70,Aedes albopictus,M,1
8,S3,8/29/16,70,Aedes albopictus,F,1
8,S3,8/17/16,49A,Aedes albopictus,M,2
8,S3,8/17/16,49A,Aedes albopictus,F,2
8,S3,8/17/16,5,Aedes albopictus,M,1
9,R3,6/22/16,40,Aedes albopictus,F,1
9,R3,6/22/16,40,Aedes albopictus,F,1
9,R3,6/22/16,26,Culex quinquefasciatus,M,1
9,R3,6/22/16,26,Culex quinquefasciatus,M,1
9,R3,6/22/16,26,Culex quinquefasciatus,M,1
9,R3,6/22/16,26,Culex quinquefasciatus,M,1
9,R3,6/22/16,26,Culex quinquefasciatus,M,1
9,R3,6/22/16,26,Culex quinquefasciatus,M,1
9,R3,6/22/16,26,Culex quinquefasciatus,M,1
9,R3,6/22/16,26,Culex quinquefasciatus,M,1
9,R3,6/22/16,26,Culex quinquefasciatus,F,1
9,R3,6/22/16,26,Anopheles punctipennis ,M,1
9,R3,6/22/16,26,Anopheles punctipennis ,M,1
9,R3,6/22/16,26,Anopheles punctipennis ,F,1
9,R3,7/7/16,26,Culex quinquefasciatus,F,1
9,R3,7/7/16,26,Culex quinquefasciatus,F,1
9,R3,7/7/16,26,Culex quinquefasciatus,M,1
9,R3,7/7/16,26,Culex quinquefasciatus,M,1
9,R3,7/7/16,26,Culex quinquefasciatus,M,1
9,R3,7/7/16,26,Culex quinquefasciatus,M,1
9,R3,7/7/16,26,Culex quinquefasciatus,M,1
9,R3,7/7/16,26,Culex quinquefasciatus,M,1
9,R3,7/7/16,26,Culex quinquefasciatus,M,1
9,R3,7/7/16,40A,Aedes albopictus,M,1
9,R3,7/7/16,40A,Aedes albopictus,M,1
9,R3,7/7/16,40A,Aedes albopictus,M,1
9,R3,7/7/16,40A,Aedes albopictus,F,1
9,R3,7/7/16,26,Culex quinquefasciatus,M,1
9,R3,7/7/16,26,Culex quinquefasciatus,F,1
9,R3,7/7/16,26,Anopheles punctipennis ,M,1
9,R3,7/7/16,40A,Aedes albopictus,F,1
9,R3,7/19/16,27,Anopheles punctipennis ,M,1
9,R3,7/7/16,40A,Aedes albopictus,F,1
9,R3,7/19/16,27,Culex quinquefasciatus,F,3
9,R3,7/19/16,39,Aedes albopictus,F,1
9,R3,7/19/16,39,Aedes albopictus,F,2
9,R3,8/2/16,40A,Aedes albopictus,M,1
9,R3,8/2/16,40A,Aedes albopictus,M,1
9,R3,8/2/16,40A,Aedes albopictus,M,2
9,R3,8/2/16,40A,Aedes albopictus,F,2
9,R3,8/2/16,40A,Aedes albopictus,M,1
9,R3,8/2/16,40A,Aedes albopictus,F,1
9,R3,8/2/16,40A,Aedes albopictus,M,2
9,R3,8/2/16,51,Aedes albopictus,F,1
9,R3,8/15/16,40A,Aedes albopictus,M,1
9,R3,8/15/16,40A,Aedes albopictus,F,1
9,R3,8/15/16,26,Anopheles crucians,M,1
9,R3,8/15/16,40A,Aedes albopictus,F,1
9,R3,8/15/16,40A,Aedes albopictus,M,7
9,R3,8/15/16,40A,Aedes albopictus,F,1
9,R3,8/15/16,26,Anopheles punctipennis ,M,1
9,R3,8/15/16,26,Anopheles punctipennis ,F,3
9,R3,8/15/16,40A,Aedes albopictus,M,2
9,R3,8/15/16,40A,Aedes albopictus,F,1
9,R3,8/29/16,40,Aedes albopictus,M,1
9,R3,8/15/16,40A,Aedes albopictus,F,2
9,R3,8/15/16,40A,Aedes albopictus,M,1
9,R3,8/29/16,40,Aedes albopictus,M,2
9,R3,8/29/16,40,Aedes albopictus,F,6
9,R3,8/29/16,40,Aedes albopictus,M,4
9,R3,8/29/16,40,Aedes albopictus,F,2
9,R3,8/29/16,38,Anopheles punctipennis,F,1
9,R3,8/29/16,40,Aedes albopictus,M,2
9,R3,8/29/16,40,Aedes albopictus,F,4
9,R3,8/29/16,40,Aedes albopictus,F,1
