Site,Date,Grid,Species,Sex,Num,Notes
R2,7/19/16,92,Aedes albopictus,F,1,
R2,8/2/16,61A,Aedes albopictus,M,2,
R2,8/2/16,51,Aedes albopictus,M,4,
R2,8/2/16,51,Aedes albopictus,F,1,
R2,8/2/16,61A,Aedes albopictus,M,2,
R2,8/2/16,61A,Aedes albopictus,F,2,
R2,7/19/16,92,Aedes albopictus,M,2,
R2,8/2/16,51,Aedes albopictus,F,4,
R2,8/2/16,51,Aedes albopictus,F,1,
R2,7/19/16,92,Aedes albopictus,M,2,
R2,7/19/16,92,Aedes albopictus,F,3,
R2,7/19/16,92,Aedes albopictus,M,2,
R2,7/19/16,92,Aedes albopictus,F,1,
R2,8/15/16,51,Aedes albopictus,M,1,
R2,8/15/16,51,Aedes albopictus,F,3,
R2,8/15/16,51,Aedes albopictus,F,1,
R2,8/29/16,61B,Aedes albopictus,F,2,
R2,8/29/16,61B,Aedes albopictus,M,2,
R2,8/29/16,61B,Aedes albopictus,F,2,
R2,8/29/16,61B,Aedes albopictus,M,3,
R2,8/29/16,61B,Aedes albopictus,F,1,
R2,8/29/16,51,Aedes albopictus,M,1,
R2,8/29/16,51,Aedes albopictus,F,3,
R2,8/29/16,51,Aedes japonicus,F,1,
R2,8/29/16,51,Aedes albopictus,F,1,
S1,6/20/16,56B,Aedes albopictus ,F,1,
S1,6/20/16,56B,Aedes albopictus ,F,1,
S1,6/20/16,56A,Culex quinquefasciatus,F,1,
S1,6/20/16,56A,Culex quinquefasciatus,F,1,
S1,6/20/16,56A,Culex quinquefasciatus,F,1,
S1,6/20/16,56A,Culex quinquefasciatus,F,1,
S1,6/20/16,56A,Culex quinquefasciatus,F,1,
S1,6/20/16,56A,Culex quinquefasciatus,M,1,
S1,6/20/16,56A,Culex quinquefasciatus,M,1,
S1,6/20/16,56B,Aedes albopictus ,M,1,
S1,6/20/16,56B,Aedes triseriatus ,M,1,
S1,6/20/16,43,Aedes triseriatus ,F,1,
S1,6/20/16,43,Aedes triseriatus ,F,1,
S1,6/20/16,43,Aedes triseriatus ,F,1,
S1,6/20/16,43,Aedes triseriatus ,M,1,
S1,7/5/16,43,Aedes albopictus ,M,1,
S1,7/5/16,43,Aedes triseriatus ,F,1,
S1,7/19/16,55,Aedes triseriatus ,F,1,
S1,7/19/16,85,Aedes albopictus ,F,1,
S1,7/19/16,85,Aedes albopictus ,F,1,
S1,7/19/16,55,Aedes albopictus ,M,1,
S1,7/19/16,85,Aedes albopictus ,M,1,
S1,7/19/16,85,Aedes albopictus ,M,1,
S1,7/19/16,85,Aedes albopictus ,F,1,
S1,7/19/16,55,Aedes albopictus ,M,1,
S1,7/19/16,56B,Aedes albopictus ,M,1,
S1,7/19/16,34,Aedes albopictus ,M,1,
S1,7/19/16,34,Aedes albopictus ,M,1,
S1,7/19/16,34,Aedes albopictus ,M,1,
S1,7/19/16,34,Aedes albopictus ,M,1,
S1,7/19/16,34,Aedes albopictus ,M,1,
S1,7/19/16,55,Aedes albopictus ,M,1,
S1,7/19/16,55,Aedes albopictus ,F,3,
S1,7/19/16,56B,Aedes albopictus ,F,1,
S1,7/19/16,34,Aedes albopictus ,F,2,
S1,7/19/16,35B,Aedes albopictus ,F,1,
S1,7/19/16,85,Aedes albopictus ,M,1,
S1,7/19/16,56B,Aedes albopictus ,F,2,
S1,7/19/16,55,Aedes albopictus ,M,3,
S1,7/19/16,55,Aedes albopictus ,F,5,
S1,7/19/16,35B,Aedes albopictus ,F,2,
S1,7/19/16,55,Aedes albopictus ,F,1,
S1,7/19/16,48,Aedes albopictus ,F,1,
S1,8/2/16,55B,Aedes albopictus ,M,1,
S1,8/2/16,85,Aedes albopictus ,F,2,
S1,8/2/16,55,Aedes albopictus ,F,1,
S1,8/2/16,85,Aedes albopictus ,M,1,
S1,8/2/16,46B,Aedes albopictus ,F,1,
S1,8/2/16,45A,Aedes albopictus ,M,2,
S1,8/2/16,45A,Aedes albopictus ,F,1,
S1,8/2/16,45A,Culex quinquefasciatus,F,1,
S1,8/2/16,55B,Aedes albopictus ,F,2,
S1,8/2/16,45B,Aedes albopictus ,F,1,
S1,7/19/16,55,Aedes albopictus ,M,1,
S1,8/2/16,46B,Aedes albopictus ,F,1,
S1,8/2/16,85,Aedes albopictus ,M,1,
S1,8/2/16,85,Aedes albopictus ,F,2,
S1,7/19/16,55,Aedes triseriatus ,F,1,
S1,8/2/16,49B,Aedes albopictus ,M,1,
S1,8/2/16,55,Aedes albopictus ,M,2,
S1,8/2/16,82,Aedes albopictus ,M,3,
S1,8/2/16,46B,Aedes albopictus ,M,2,
S1,8/2/16,46B,Aedes albopictus ,F,1,
S1,8/2/16,82,Aedes albopictus,M,1,
S1,8/2/16,82,Aedes albopictus,F,2,
S1,8/2/16,55,Aedes albopictus,M,5,
S1,8/2/16,55,Aedes albopictus,F,1,
S1,8/2/16,55B,Aedes albopictus,M,2,
S1,8/2/16,55B,Aedes albopictus,F,1,
S1,8/2/16,49B,Aedes albopictus,M,1,
S1,8/2/16,49B,Aedes albopictus,F,1,
S1,8/2/16,85,Aedes albopictus,F,1,
S1,8/2/16,45A,Aedes albopictus,F,1,
S1,8/2/16,55,Aedes albopictus,M,1,
S1,8/2/16,55,Aedes albopictus,F,3,
S1,8/2/16,45A,Culex quinquefasciatus,F,1,
S1,8/2/16,55 (C),Aedes albopictus,F,1,
S1,8/15/16,56A,Aedes albopictus,F,1,
S1,8/15/16,46,Aedes albopictus,M,2,
S1,8/15/16,46,Aedes albopictus,F,2,
S1,8/15/16,24,,M,1,
S1,8/15/16,85,Aedes albopictus,F,1,
S1,8/15/16,91,Aedes albopictus,M,2,
S1,8/15/16,91,Aedes albopictus,F,2,
S1,8/2/16,55,Aedes triseriatus,F,1,
S1,8/15/16,24,Culex quinquefasciatus,M,2,
S1,8/2/16,49B,Aedes triseriatus,F,1,
S1,8/15/16,91,Aedes albopictus,F,1,
S1,8/15/16,91,Aedes albopictus,M,1,
S1,8/15/16,46,Aedes albopictus,M,1,
S1,8/15/16,55,Aedes triseriatus,F,1,
S1,8/15/16,24,Culex quinquefasciatus,M,1,
S1,8/15/16,56A,Aedes albopictus,F,1,
S1,8/15/16,46,Aedes albopictus,F,1,
S1,8/15/16,24,Culex quinquefasciatus,F,1,
S1,8/15/16,24,Culex quinquefasciatus,M,4,
S1,8/15/16,91,Aedes albopictus,M,1,
S1,8/15/16,91,Aedes albopictus,F,2,
S1,8/15/16,56A,Aedes albopictus,M,2,
S1,8/15/16,25,Aedes albopictus,M,1,
S1,8/15/16,25,Aedes albopictus,F,3,
S1,8/15/16,46,Aedes albopictus,F,1,
S1,8/15/16,35,Aedes albopictus,M,1,
S1,8/15/16,35,Aedes albopictus,F,1,
S1,8/15/16,46,Aedes albopictus,F,1,
S1,8/15/16,91,Aedes albopictus,F,2,
S1,8/15/16,85,Aedes albopictus,M,1,
S1,8/15/16,85,Aedes albopictus,F,1,
S1,8/15/16,56B,Aedes albopictus,F,1,
S1,8/15/16,85,Aedes albopictus,F,1,
S1,8/15/16,24,Culex quinquefasciatus,M,1,
S1,8/15/16,56A,Aedes albopictus,M,3,
S1,8/15/16,91,Aedes albopictus,F,2,
S1,8/15/16,46,Aedes albopictus,F,1,
S1,8/15/16,35,Aedes albopictus,F,1,
S1,8/15/16,85,Aedes albopictus,F,4,
S1,8/15/16,46,Aedes albopictus,F,1,
S1,8/15/16,24,Culex quinquefasciatus,M,2,
S1,8/15/16,24,Culex quinquefasciatus,M,1,
S1,8/15/16,24,Culex quinquefasciatus,F,1,
S1,8/15/16,46A,Aedes albopictus,M,1,
S1,8/31/16,46A,Aedes albopictus,M,1,
S1,8/31/16,46A,Aedes albopictus,F,1,
S1,8/31/16,85,Aedes albopictus,F,1,
S1,8/31/16,46A,Aedes albopictus,M,1,
S1,8/31/16,85,Aedes albopictus,M,3,
S1,8/15/16,24,Culex quinquefasciatus,M,1,
S1,8/15/16,24,Culex quinquefasciatus,F,1,
S1,8/31/16,85,Aedes albopictus,F,2,
S1,9/12/16,34B,Aedes albopictus,M,2,
S1,9/12/16,34A,Aedes albopictus,M,1,
S1,8/31/16,85,Aedes albopictus,F,1,
U1,6/22/16,44,Aedes albopictus,M,1,
U1,6/22/16,44,Aedes albopictus,F,1,
U1,6/22/16,59,Culex quinquefaciatus,F,1,
U1,6/22/16,59,Culex quinquefaciatus,F,1,
U1,6/22/16,59,Culex quinquefaciatus,F,1,
U1,6/22/16,59,Culex quinquefaciatus,F,1,
U1,6/22/16,59,Culex quinquefaciatus,F,1,
U1,6/22/16,59,Culex quinquefaciatus,F,1,
U1,6/22/16,59,Culex quinquefaciatus,M,1,
U1,6/22/16,44,Culex quinquefaciatus,F,1,
U1,6/22/16,44,Culex quinquefaciatus,M,1,
U1,6/22/16,44,Culex quinquefaciatus,F,1,
U1,6/22/16,44,Culex quinquefaciatus,F,1,
U1,6/22/16,44,Culex quinquefaciatus,F,1,
U1,6/22/16,44,Culex quinquefaciatus,M,1,
U1,6/22/16,49,Aedes albopictus,M,1,
U1,7/7/16,49,Aedes albopictus,M,1,
U1,7/7/16,49,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,F,1,
U1,7/7/16,48,Aedes albopictus,F,1,
U1,7/7/16,48,Aedes japonicus,F,1,
U1,7/7/16,49,Aedes albopictus,F,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,60,Aedes albopictus,F,1,
U1,7/7/16,48,Aedes albopictus,F,1,
U1,7/7/16,48,Aedes albopictus,F,1,
U1,7/7/16,60,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,M,1,
U1,7/7/16,48,Aedes albopictus,F,1,
U1,7/7/16,48,Aedes japonicus,F,1,
U1,7/7/16,49,Aedes albopictus,M,1,
U1,7/7/16,60,Aedes albopictus,F,1,
U1,7/7/16,60,Aedes albopictus,F,1,
U1,7/7/16,49,Aedes triseriatus,F,1,
U1,7/7/16,60,Aedes triseriatus,F,1,
U1,7/7/16,60,Aedes albopictus,M,1,
U1,7/7/16,60,Aedes albopictus,M,1,
U1,7/7/16,60,Aedes albopictus,F,1,
U1,7/7/16,60,Aedes albopictus,F,1,
U1,7/7/16,60,Aedes albopictus,F,1,
U1,7/7/16,60,Aedes albopictus,F,1,
U1,7/7/16,60,Aedes albopictus,F,1,
U1,7/7/16,60,Aedes albopictus,F,1,
U1,7/7/16,60,Aedes albopictus,F,1,
U1,7/7/16,49,Aedes albopictus,F,1,
U1,7/7/16,49,Aedes albopictus,F,1,
U1,7/7/16,49,Aedes albopictus,M,1,
U1,7/7/16,60,Aedes albopictus,F,1,
U1,7/7/16,60,Aedes albopictus,F,1,
U1,7/21/16,59B,Aedes albopictus,M,1,
U1,7/21/16,59A,Aedes albopictus,F,1,
U1,7/21/16,59B,Aedes albopictus,M,1,
U1,7/21/16,59B,Aedes albopictus,F,1,
U1,7/21/16,59B,Aedes albopictus,M,1,
U1,7/21/16,59B,Aedes albopictus,F,2,
U1,7/21/16,59A,Aedes albopictus,M,2,
U1,7/21/16,59A,Aedes albopictus,F,2,
U1,7/21/16,59B,Aedes albopictus,M,1,
U1,8/3/16,60,Aedes albopictus,M,1,
U1,8/3/16,60,Aedes albopictus,M,1,
U1,8/3/16,60,Aedes albopictus,F,2,
U1,8/3/16,60,Culex quinquefaciatus,F,1,
U1,8/3/16,60,Aedes albopictus,F,2,
U1,8/3/16,60,Aedes albopictus,F,1,
U1,8/3/16,60,Culex quinquefaciatus,F,2,
U1,8/3/16,60,Culex quinquefaciatus,M,1,
U1,8/17/16,49B,Aedes japonicus,F,1,
U1,8/17/16,60,Aedes albopictus,F,1,
U1,8/17/16,49,Aedes albopictus,M,1,
U1,8/17/16,49B,Aedes albopictus,M,2,
U1,8/17/16,49A,Aedes albopictus,F,1,
U1,8/17/16,49A,Aedes triseriatus,F,1,
U1,8/17/16,49B,Aedes albopictus,F,1,
U1,8/17/16,49A,Aedes triseriatus,F,1,
U1,8/31/16,44,Aedes albopictus,F,1,
U1,8/17/16,60,Aedes albopictus,F,3,
U1,8/17/16,60,Aedes albopictus,F,1,
U1,8/31/16,44,Aedes albopictus,F,1,
U1,8/31/16,44,Aedes albopictus,F,1,
S2,6/20/16,27A,Aedes albopictus ,F,1,
S2,6/20/16,27A,Aedes albopictus ,M,1,
S2,6/20/16,27A,Aedes albopictus ,M,1,
S2,6/20/16,27,Aedes japonicus,F,1,
S2,6/20/16,27,Aedes japonicus,F,1,
S2,6/20/16,27A,Aedes albopictus ,F,1,
S2,6/20/16,27A,Aedes albopictus ,F,1,
S2,6/20/16,27A,Aedes albopictus ,M,1,
S2,6/20/16,27A,Aedes japonicus,M,1,
S2,7/5/16,24B,Aedes albopictus ,M,1,
S2,7/5/16,24A,Aedes albopictus ,M,1,
S2,7/5/16,24A,Aedes albopictus ,M,1,
S2,7/5/16,24A,Aedes albopictus ,F,1,
S2,7/5/16,24B,Aedes albopictus ,M,1,
S2,7/5/16,24B,Aedes albopictus ,M,1,
S2,7/5/16,24B,Aedes albopictus ,M,1,
S2,7/5/16,25,Aedes albopictus ,M,1,
S2,7/5/16,25,Aedes albopictus ,M,1,
S2,7/5/16,25,Aedes albopictus ,F,1,
S2,7/5/16,24A,Aedes albopictus ,F,1,
S2,7/5/16,24A,Aedes albopictus ,M,1,
S2,7/5/16,24A,Aedes triseriatus,F,1,
S2,7/5/16,24A,Aedes triseriatus,F,1,
S2,7/5/16,24B,Aedes albopictus ,F,1,
S2,7/5/16,24B,Aedes albopictus ,F,1,
S2,7/5/16,24B,Aedes albopictus ,F,1,
S2,7/5/16,24B,Aedes albopictus ,F,1,
S2,7/5/16,24B,Aedes albopictus ,F,1,
S2,7/5/16,24B,Aedes albopictus ,F,1,
S2,7/5/16,24B,Aedes albopictus ,F,1,
S2,7/5/16,85,Aedes albopictus ,F,1,
S2,7/5/16,24B,Aedes albopictus ,M,1,
S2,7/5/16,24A,Aedes albopictus ,M,1,
S2,7/5/16,24A,Aedes albopictus ,M,1,
S2,7/5/16,24A,Aedes albopictus ,M,1,
S2,7/5/16,24A,Aedes albopictus ,F,1,
S2,7/5/16,24A,Aedes albopictus ,F,1,
S2,7/5/16,24B,Aedes albopictus ,M,1,
S2,7/5/16,24B,Aedes albopictus ,M,1,
S2,7/5/16,24B,Aedes albopictus ,M,1,
S2,7/5/16,24B,Aedes albopictus ,M,1,
S2,7/5/16,85,Aedes albopictus ,F,1,
S2,7/21/16,59A,Aedes albopictus ,M,1,
S2,7/21/16,86,Orthopodomyia signifera,F,1,
S2,8/3/16,24,Aedes albopictus ,M,1,
S2,8/3/16,27A,Aedes albopictus ,F,3,
S2,8/3/16,75,Aedes albopictus ,M,1,
S2,8/3/16,75,Aedes albopictus ,F,2,
S2,8/3/16,75,Aedes albopictus ,M,1,
S2,8/3/16,75,Aedes albopictus ,F,2,
S2,8/3/16,47B,Aedes albopictus ,F,1,
S2,8/3/16,86,Aedes albopictus ,F,1,
S2,8/3/16,27A,Aedes albopictus ,F,1,
S2,8/3/16,36A,Aedes albopictus ,F,1,
S2,8/3/16,86,Aedes albopictus ,M,1,
S2,8/3/16,86,Aedes albopictus ,F,2,
S2,8/3/16,47B,Aedes albopictus ,F,2,
S2,8/2/16,86,Aedes albopictus,M,2,
S2,8/2/16,86,Aedes albopictus,F,1,
S2,8/3/16,75,Aedes albopictus,M,1,
S2,8/3/16,47B,Aedes albopictus,M,2,
S2,8/3/16,47B,Aedes albopictus,F,1,
S2,8/3/16,36A,Aedes albopictus,F,4,
S2,8/3/16,24,Aedes albopictus,F,2,
S2,8/3/16,24,Aedes albopictus,M,1,
S2,8/3/16,47C,Aedes albopictus,F,1,
S2,8/3/16,47C,Aedes albopictus,M,2,
S2,8/3/16,24,Aedes albopictus,F,2,
S2,8/3/16,47B,Aedes albopictus,F,1,
S2,8/3/16,47C,Aedes albopictus,F,1,
S2,8/3/16,24,Aedes albopictus,F,1,
S2,8/3/16,24,Aedes albopictus,M,1,
S2,8/17/16,46,Aedes albopictus,F,1,
S2,8/17/16,48,Aedes albopictus,F,1,
S2,8/17/16,86,Aedes albopictus,F,1,
S2,8/17/16,48,Aedes albopictus,F,1,
S2,8/17/16,46,Aedes albopictus,M,1,
S2,8/17/16,46,Aedes albopictus,F,2,
S2,8/17/16,27,Aedes albopictus,M,2,
S2,8/17/16,48,Aedes albopictus,F,1,
S2,8/17/16,92,Aedes albopictus,F,1,
S2,8/17/16,86,Aedes albopictus,F,2,
S2,8/17/16,27,Aedes albopictus,F,2,
S2,8/17/16,48,Aedes albopictus,F,1,
S2,8/17/16,86,Aedes albopictus,F,1,
S2,8/17/16,27,Aedes albopictus,F,3,
S2,8/17/16,27,Aedes albopictus,M,4,
S2,8/17/16,46,Aedes albopictus,F,2,
S2,8/17/16,86,Orthopodomyia signifera,F,2,
S2,8/17/16,46,Aedes albopictus,M,3,
S2,8/17/16,86,Orthopodomyia signifera,F,1,
S2,8/17/16,86,Orthopodomyia signifera,F,2,
S2,8/30/16,74,Aedes albopictus,F,1,
S2,8/17/16,75,Aedes albopictus,F,1,
S2,8/30/16,74,Aedes albopictus,M,1,
S2,8/30/16,74,Aedes albopictus,M,1,
S2,8/30/16,74,Aedes albopictus,F,1,
S2,9/12/16,,Aedes albopictus,M,1,
R1,7/5/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes triseriatus ,M,1,
R1,7/7/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes triseriatus ,F,1,
R1,7/7/16,33,Aedes triseriatus ,F,1,
R1,7/7/16,33,Aedes triseriatus ,F,1,
R1,7/7/16,33,Aedes triseriatus ,F,1,
R1,7/7/16,33,Culex quinquefasciatus,F,1,
R1,7/7/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,M,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/7/16,33,Aedes albopictus,F,1,
R1,7/21/16,34,Aedes albopictus,F,1,
R1,7/21/16,34,Aedes albopictus,F,1,
R1,7/21/16,34,Aedes albopictus,F,1,
R1,7/21/16,34,Aedes albopictus,F,4,
R1,7/21/16,34,Aedes albopictus,M,1,
R1,7/21/16,34,Aedes albopictus,F,2,
R1,7/21/16,34,Aedes albopictus,M,3,
R1,7/21/16,34,Aedes albopictus,F,1,
R1,7/21/16,34,Aedes albopictus,M,1,
R1,8/2/16,51,Aedes albopictus,F,1,
R1,8/2/16,51,Aedes albopictus,M,2,
R1,8/2/16,51,Aedes albopictus,F,3,
R1,8/2/16,51,Aedes albopictus,M,1,
R1,8/2/16,51,Aedes albopictus,F,3,
R1,8/2/16,51,Aedes albopictus,F,2,
R1,8/2/16,33,Aedes albopictus,M,1,
R1,8/2/16,33,Orthopodomyia signifera,F,1,
R1,8/2/16,33,Orthopodomyia signifera,F,1,
R1,8/2/16,33,Orthopodomyia signifera,F,2,
R1,8/2/16,51,Aedes albopictus,M,1,
R1,8/2/16,51,Aedes albopictus,F,1,
R1,8/30/16,46C,Anopheles punctipennis,F,1,
R1,8/30/16,46C,Anopheles punctipennis,M,1,
U2,6/20/16,29B,Aedes albopictus,F,1,
U2,6/20/16,29B,Aedes albopictus,F,1,
U2,6/20/16,29B,Aedes albopictus,F,1,
U2,6/20/16,29B,Aedes albopictus,M,1,
U2,6/20/16,29B,Aedes albopictus,F,1,
U2,6/20/16,29B,Aedes japonicus,M,1,
U2,7/5/16,18,Aedes albopictus,M,1,
U2,7/5/16,75A,Aedes albopictus,F,1,
U2,7/5/16,47B,Aedes albopictus,F,1,
U2,7/5/16,47B,Aedes albopictus,M,1,
U2,7/5/16,47B,Aedes albopictus,M,1,
U2,7/5/16,75A,Aedes albopictus,M,1,
U2,7/5/16,75A,Aedes albopictus,M,1,
U2,7/5/16,75A,Aedes albopictus,F,1,
U2,7/5/16,75A,Aedes albopictus,F,1,
U2,7/5/16,18,Aedes albopictus,M,1,
U2,7/5/16,80,Aedes albopictus,M,1,
U2,7/5/16,80,Aedes albopictus,F,1,
U2,7/5/16,80,Aedes albopictus,F,1,
U2,7/5/16,18,Aedes albopictus,F,1,
U2,7/5/16,47A,Toxorhynchites,F,1,
U2,7/5/16,75,Aedes albopictus,F,1,
U2,7/5/16,75,Aedes albopictus,M,1,
U2,7/5/16,75,Culex quinquefasciatus,F,1,
U2,7/5/16,18,Aedes albopictus,F,1,
U2,7/5/16,75A,Aedes albopictus,M,1,
U2,7/5/16,75A,Culex quinquefasciatus,F,1,
U2,7/5/16,75A,Culex quinquefasciatus,M,1,
U2,7/5/16,75A,Culex quinquefasciatus,M,1,
U2,7/5/16,80,Aedes albopictus,F,1,
U2,7/5/16,80,Aedes albopictus,M,1,
U2,7/21/16,40,Aedes albopictus,F,1,
U2,7/21/16,18,Aedes albopictus,F,1,
U2,7/21/16,18,Aedes albopictus,F,1,
U2,7/21/16,18,Aedes albopictus,M,1,
U2,8/2/16,40A,Aedes albopictus,M,1,
U2,8/2/16,40A,Aedes albopictus,F,1,
U2,8/2/16,49,Aedes albopictus,M,2,
U2,8/2/16,49,Aedes albopictus,F,1,
U2,8/2/16,70,Aedes albopictus,M,6,
U2,8/2/16,75,Aedes albopictus,F,3,
U2,8/2/16,40A,Aedes albopictus,M,1,
U2,8/2/16,40A,Aedes albopictus,F,1,
U2,8/2/16,18,Aedes albopictus,M,2,
U2,8/2/16,42,Aedes albopictus,M,1,
U2,8/2/16,47B,Aedes albopictus,M,1,
U2,8/2/16,70,Aedes albopictus,M,2,
U2,8/2/16,70,Aedes albopictus,F,3,
U2,8/2/16,49,Aedes albopictus,F,1,
U2,8/2/16,49,Aedes albopictus,M,1,
U2,8/2/16,70,Aedes albopictus,F,1,
U2,8/2/16,40A,Aedes albopictus,F,1,
U2,8/2/16,75,Aedes albopictus,F,1,
U2,8/2/16,47A,Aedes albopictus,M,3,
U2,8/2/16,47A,Aedes albopictus,F,4,
U2,8/2/16,47A,Aedes triseriatus,M,1,
U2,8/17/16,40,Aedes albopictus,M,1,
U2,8/2/16,49,Aedes albopictus,F,1,
U2,8/2/16,47A,Aedes albopictus,F,1,
U2,8/2/16,47A,Aedes albopictus,F,1,
U2,8/17/16,18,Aedes albopictus,M,1,
U2,8/17/16,40,Aedes albopictus,F,1,
U2,8/17/16,37,Aedes albopictus,F,1,
U2,8/17/16,18,Aedes albopictus,M,1,
U2,8/17/16,18,Aedes albopictus,F,2,
U2,8/17/16,37,Aedes albopictus,F,1,
U2,8/17/16,49B,Aedes albopictus,M,1,
U2,8/17/16,49B,Aedes albopictus,F,2,
